Chart1_SeriesGroup_label,Chart1_SeriesGroup_Chart1_CategoryGroup_label,Chart1_SeriesGroup_Chart1_CategoryGroup_Value_X,Chart1_SeriesGroup_Chart1_CategoryGroup_Value_Y,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2013,2013,786,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2014,2014,505,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2015,2015,328,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2016,2016,261,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2017,2017,238,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2013,2013,409,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2014,2014,306,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2015,2015,282,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2016,2016,216,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2017,2017,180,,,,,,,
ADAMS ELEM.,2013,2013,279,,,,,,,
ADAMS ELEM.,2014,2014,314,,,,,,,
ADAMS ELEM.,2015,2015,278,,,,,,,
ADAMS ELEM.,2016,2016,271,,,,,,,
ADAMS ELEM.,2017,2017,250,,,,,,,
AMES VISUAL/PERF. ARTS,2013,2013,416,,,,,,,
AMES VISUAL/PERF. ARTS,2014,2014,364,,,,,,,
AMES VISUAL/PERF. ARTS,2015,2015,345,,,,,,,
AMES VISUAL/PERF. ARTS,2016,2016,363,,,,,,,
AMES VISUAL/PERF. ARTS,2017,2017,338,,,,,,,
ASHLAND ELEM. AND BR.,2013,2013,336,,,,,,,
ASHLAND ELEM. AND BR.,2014,2014,341,,,,,,,
ASHLAND ELEM. AND BR.,2015,2015,329,,,,,,,
ASHLAND ELEM. AND BR.,2016,2016,292,,,,,,,
ASHLAND ELEM. AND BR.,2017,2017,267,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2013,2013,152,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2014,2014,63,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2015,2015,442,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2016,2016,456,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2017,2017,575,,,,,,,
BRYAN HILL ELEM.,2013,2013,187,,,,,,,
BRYAN HILL ELEM.,2014,2014,170,,,,,,,
BRYAN HILL ELEM.,2015,2015,184,,,,,,,
BRYAN HILL ELEM.,2016,2016,154,,,,,,,
BRYAN HILL ELEM.,2017,2017,180,,,,,,,
BUDER ELEM.,2013,2013,349,,,,,,,
BUDER ELEM.,2014,2014,315,,,,,,,
BUDER ELEM.,2015,2015,325,,,,,,,
BUDER ELEM.,2016,2016,342,,,,,,,
BUDER ELEM.,2017,2017,320,,,,,,,
BUSCH MS CHARACTER & ATHLETICS,2013,2013,353,,,,,,,
BUSCH MS CHARACTER & ATHLETICS,2014,2014,330,,,,,,,
BUSCH MS CHARACTER & ATHLETICS,2015,2015,349,,,,,,,
BUSCH MS CHARACTER & ATHLETICS,2016,2016,346,,,,,,,
BUSCH MS CHARACTER & ATHLETICS,2017,2017,357,,,,,,,
CARDINAL GLENNON HOSPITAL,2013,2013,0,,,,,,,
CARDINAL GLENNON HOSPITAL,2014,2014,0,,,,,,,
CARDINAL GLENNON HOSPITAL,2015,2015,0,,,,,,,
CARDINAL GLENNON HOSPITAL,2016,2016,0,,,,,,,
CARDINAL GLENNON HOSPITAL,2017,,0,,,,,,,
CARNAHAN SCH. OF THE FUTURE,2013,2013,344,,,,,,,
CARNAHAN SCH. OF THE FUTURE,2014,2014,374,,,,,,,
CARNAHAN SCH. OF THE FUTURE,2015,2015,414,,,,,,,
CARNAHAN SCH. OF THE FUTURE,2016,2016,383,,,,,,,
CARNAHAN SCH. OF THE FUTURE,2017,2017,357,,,,,,,
CARR LANE VPA MIDDLE,2013,2013,559,,,,,,,
CARR LANE VPA MIDDLE,2014,2014,610,,,,,,,
CARR LANE VPA MIDDLE,2015,2015,557,,,,,,,
CARR LANE VPA MIDDLE,2016,2016,563,,,,,,,
CARR LANE VPA MIDDLE,2017,2017,545,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2013,2013,388,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2014,2014,402,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2015,2015,396,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2016,2016,408,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2017,2017,411,,,,,,,
CLAY ELEM.,2013,2013,139,,,,,,,
CLAY ELEM.,2014,2014,145,,,,,,,
CLAY ELEM.,2015,2015,164,,,,,,,
CLAY ELEM.,2016,2016,116,,,,,,,
CLAY ELEM.,2017,2017,140,,,,,,,
CLEVELAND NJROTC ACADEMY,2013,2013,279,,,,,,,
CLEVELAND NJROTC ACADEMY,2014,2014,299,,,,,,,
CLEVELAND NJROTC ACADEMY,2015,2015,290,,,,,,,
CLEVELAND NJROTC ACADEMY,2016,2016,269,,,,,,,
CLEVELAND NJROTC ACADEMY,2017,2017,306,,,,,,,
COLE ELEM.,2013,2013,299,,,,,,,
COLE ELEM.,2014,2014,339,,,,,,,
COLE ELEM.,2015,2015,382,,,,,,,
COLE ELEM.,2016,2016,352,,,,,,,
COLE ELEM.,2017,2017,357,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2013,,0,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2014,2014,61,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2015,2015,110,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2016,2016,174,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2017,2017,224,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2013,2013,198,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2014,2014,221,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2015,2015,182,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2016,2016,125,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2017,2017,157,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2013,2013,132,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2014,2014,119,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2015,2015,136,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2016,2016,143,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2017,2017,138,,,,,,,
COMPTON-DREW ILC MIDDLE,2013,2013,535,,,,,,,
COMPTON-DREW ILC MIDDLE,2014,2014,522,,,,,,,
COMPTON-DREW ILC MIDDLE,2015,2015,496,,,,,,,
COMPTON-DREW ILC MIDDLE,2016,2016,481,,,,,,,
COMPTON-DREW ILC MIDDLE,2017,2017,476,,,,,,,
COTE BRILLIANTE ELEM.,2013,2013,175,,,,,,,
COTE BRILLIANTE ELEM.,2014,2014,216,,,,,,,
COTE BRILLIANTE ELEM.,2015,2015,235,,,,,,,
COTE BRILLIANTE ELEM.,2016,2016,185,,,,,,,
COTE BRILLIANTE ELEM.,2017,2017,138,,,,,,,
DEWEY SCH.-INTERNAT'L. STUDIES,2013,2013,418,,,,,,,
DEWEY SCH.-INTERNAT'L. STUDIES,2014,2014,378,,,,,,,
DEWEY SCH.-INTERNAT'L. STUDIES,2015,2015,371,,,,,,,
DEWEY SCH.-INTERNAT'L. STUDIES,2016,2016,381,,,,,,,
DEWEY SCH.-INTERNAT'L. STUDIES,2017,2017,369,,,,,,,
DUNBAR AND BR.,2013,2013,202,,,,,,,
DUNBAR AND BR.,2014,2014,203,,,,,,,
DUNBAR AND BR.,2015,2015,194,,,,,,,
DUNBAR AND BR.,2016,2016,150,,,,,,,
DUNBAR AND BR.,2017,2017,148,,,,,,,
"EARL NANCE, SR. ELEM.",2013,2013,361,,,,,,,
"EARL NANCE, SR. ELEM.",2014,2014,383,,,,,,,
"EARL NANCE, SR. ELEM.",2015,2015,335,,,,,,,
"EARL NANCE, SR. ELEM.",2016,2016,293,,,,,,,
"EARL NANCE, SR. ELEM.",2017,2017,274,,,,,,,
ELIAS MICHAEL ELEM.,2013,2013,50,,,,,,,
ELIAS MICHAEL ELEM.,2014,2014,58,,,,,,,
ELIAS MICHAEL ELEM.,2015,2015,56,,,,,,,
ELIAS MICHAEL ELEM.,2016,2016,55,,,,,,,
ELIAS MICHAEL ELEM.,2017,2017,47,,,,,,,
FANNING MIDDLE COMMUNITY ED.,2013,2013,340,,,,,,,
FANNING MIDDLE COMMUNITY ED.,2014,2014,389,,,,,,,
FANNING MIDDLE COMMUNITY ED.,2015,2015,375,,,,,,,
FANNING MIDDLE COMMUNITY ED.,2016,2016,356,,,,,,,
FANNING MIDDLE COMMUNITY ED.,2017,2017,283,,,,,,,
FARRAGUT ELEM.,2013,2013,177,,,,,,,
FARRAGUT ELEM.,2014,2014,185,,,,,,,
FARRAGUT ELEM.,2015,2015,164,,,,,,,
FARRAGUT ELEM.,2016,2016,144,,,,,,,
FARRAGUT ELEM.,2017,2017,150,,,,,,,
FORD-FORD BR. ELEM. COMM. ED.,2013,2013,207,,,,,,,
FORD-FORD BR. ELEM. COMM. ED.,2014,2014,249,,,,,,,
FORD-FORD BR. ELEM. COMM. ED.,2015,2015,297,,,,,,,
FORD-FORD BR. ELEM. COMM. ED.,2016,2016,233,,,,,,,
FORD-FORD BR. ELEM. COMM. ED.,2017,2017,229,,,,,,,
FROEBEL ELEM.,2013,2013,326,,,,,,,
FROEBEL ELEM.,2014,2014,350,,,,,,,
FROEBEL ELEM.,2015,2015,316,,,,,,,
FROEBEL ELEM.,2016,2016,254,,,,,,,
FROEBEL ELEM.,2017,2017,258,,,,,,,
GATEWAY ELEM.,2013,2013,545,,,,,,,
GATEWAY ELEM.,2014,2014,540,,,,,,,
GATEWAY ELEM.,2015,2015,511,,,,,,,
GATEWAY ELEM.,2016,2016,522,,,,,,,
GATEWAY ELEM.,2017,2017,482,,,,,,,
GATEWAY HIGH,2013,2013,1177,,,,,,,
GATEWAY HIGH,2014,2014,1158,,,,,,,
GATEWAY HIGH,2015,2015,1121,,,,,,,
GATEWAY HIGH,2016,2016,1148,,,,,,,
GATEWAY HIGH,2017,2017,1104,,,,,,,
GATEWAY MIDDLE,2013,2013,569,,,,,,,
GATEWAY MIDDLE,2014,2014,592,,,,,,,
GATEWAY MIDDLE,2015,2015,559,,,,,,,
GATEWAY MIDDLE,2016,2016,564,,,,,,,
GATEWAY MIDDLE,2017,2017,513,,,,,,,
GRISCOM JUVENILE DETENTION CTR,2013,,0,,,,,,,
GRISCOM JUVENILE DETENTION CTR,2014,,0,,,,,,,
GRISCOM JUVENILE DETENTION CTR,2015,2015,12,,,,,,,
GRISCOM JUVENILE DETENTION CTR,2016,2016,26,,,,,,,
GRISCOM JUVENILE DETENTION CTR,2017,2017,22,,,,,,,
HAMILTON ELEM. COMMUNITY ED.,2013,2013,323,,,,,,,
HAMILTON ELEM. COMMUNITY ED.,2014,2014,366,,,,,,,
HAMILTON ELEM. COMMUNITY ED.,2015,2015,350,,,,,,,
HAMILTON ELEM. COMMUNITY ED.,2016,2016,283,,,,,,,
HAMILTON ELEM. COMMUNITY ED.,2017,2017,288,,,,,,,
HENRY ELEM.,2013,2013,215,,,,,,,
HENRY ELEM.,2014,2014,181,,,,,,,
HENRY ELEM.,2015,2015,182,,,,,,,
HENRY ELEM.,2016,2016,180,,,,,,,
HENRY ELEM.,2017,2017,228,,,,,,,
HERZOG ELEM.,2013,2013,372,,,,,,,
HERZOG ELEM.,2014,2014,389,,,,,,,
HERZOG ELEM.,2015,2015,401,,,,,,,
HERZOG ELEM.,2016,2016,298,,,,,,,
HERZOG ELEM.,2017,2017,272,,,,,,,
HICKEY ELEM.,2013,2013,187,,,,,,,
HICKEY ELEM.,2014,2014,212,,,,,,,
HICKEY ELEM.,2015,2015,196,,,,,,,
HICKEY ELEM.,2016,2016,157,,,,,,,
HICKEY ELEM.,2017,2017,174,,,,,,,
HODGEN ELEM.,2013,2013,257,,,,,,,
HODGEN ELEM.,2014,2014,280,,,,,,,
HODGEN ELEM.,2015,2015,269,,,,,,,
HODGEN ELEM.,2016,2016,223,,,,,,,
HODGEN ELEM.,2017,2017,203,,,,,,,
HUMBOLDT ACAD OF HIGHER LRNING,2013,2013,280,,,,,,,
HUMBOLDT ACAD OF HIGHER LRNING,2014,2014,298,,,,,,,
HUMBOLDT ACAD OF HIGHER LRNING,2015,2015,315,,,,,,,
HUMBOLDT ACAD OF HIGHER LRNING,2016,2016,262,,,,,,,
HUMBOLDT ACAD OF HIGHER LRNING,2017,2017,215,,,,,,,
JEFFERSON ELEM.,2013,2013,217,,,,,,,
JEFFERSON ELEM.,2014,2014,214,,,,,,,
JEFFERSON ELEM.,2015,2015,203,,,,,,,
JEFFERSON ELEM.,2016,2016,187,,,,,,,
JEFFERSON ELEM.,2017,2017,186,,,,,,,
KENNARD/CLASSICAL JR. ACAD.,2013,2013,344,,,,,,,
KENNARD/CLASSICAL JR. ACAD.,2014,2014,369,,,,,,,
KENNARD/CLASSICAL JR. ACAD.,2015,2015,357,,,,,,,
KENNARD/CLASSICAL JR. ACAD.,2016,2016,326,,,,,,,
KENNARD/CLASSICAL JR. ACAD.,2017,2017,305,,,,,,,
LACLEDE ELEM.,2013,2013,212,,,,,,,
LACLEDE ELEM.,2014,2014,248,,,,,,,
LACLEDE ELEM.,2015,2015,280,,,,,,,
LACLEDE ELEM.,2016,2016,206,,,,,,,
LACLEDE ELEM.,2017,2017,175,,,,,,,
LANGSTON MIDDLE,2013,2013,304,,,,,,,
LANGSTON MIDDLE,2014,2014,278,,,,,,,
LANGSTON MIDDLE,2015,2015,282,,,,,,,
LANGSTON MIDDLE,2016,2016,228,,,,,,,
LANGSTON MIDDLE,2017,2017,182,,,,,,,
LEXINGTON ELEM.,2013,2013,256,,,,,,,
LEXINGTON ELEM.,2014,2014,321,,,,,,,
LEXINGTON ELEM.,2015,2015,339,,,,,,,
LEXINGTON ELEM.,2016,2016,328,,,,,,,
LEXINGTON ELEM.,2017,2017,337,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR.,2013,2013,258,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR.,2014,2014,245,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR.,2015,2015,239,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR.,2016,2016,210,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR.,2017,2017,193,,,,,,,
L'OUVERTURE MIDDLE,2013,2013,204,,,,,,,
L'OUVERTURE MIDDLE,2014,2014,0,,,,,,,
L'OUVERTURE MIDDLE,2015,,0,,,,,,,
L'OUVERTURE MIDDLE,2016,,0,,,,,,,
L'OUVERTURE MIDDLE,2017,,0,,,,,,,
LYON AT BLOW ELEM.,2013,2013,352,,,,,,,
LYON AT BLOW ELEM.,2014,2014,389,,,,,,,
LYON AT BLOW ELEM.,2015,2015,387,,,,,,,
LYON AT BLOW ELEM.,2016,2016,380,,,,,,,
LYON AT BLOW ELEM.,2017,2017,330,,,,,,,
MALLINCKRODT A.B.I. ELEM.,2013,2013,253,,,,,,,
MALLINCKRODT A.B.I. ELEM.,2014,2014,250,,,,,,,
MALLINCKRODT A.B.I. ELEM.,2015,2015,241,,,,,,,
MALLINCKRODT A.B.I. ELEM.,2016,2016,255,,,,,,,
MALLINCKRODT A.B.I. ELEM.,2017,2017,255,,,,,,,
MANN ELEM.,2013,2013,222,,,,,,,
MANN ELEM.,2014,2014,274,,,,,,,
MANN ELEM.,2015,2015,310,,,,,,,
MANN ELEM.,2016,2016,242,,,,,,,
MANN ELEM.,2017,2017,254,,,,,,,
MASON ELEM.,2013,2013,387,,,,,,,
MASON ELEM.,2014,2014,393,,,,,,,
MASON ELEM.,2015,2015,414,,,,,,,
MASON ELEM.,2016,2016,402,,,,,,,
MASON ELEM.,2017,2017,354,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC.,2013,2013,411,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC.,2014,2014,474,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC.,2015,2015,535,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC.,2016,2016,528,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC.,2017,2017,572,,,,,,,
MERAMEC ELEM.,2013,2013,251,,,,,,,
MERAMEC ELEM.,2014,2014,230,,,,,,,
MERAMEC ELEM.,2015,2015,232,,,,,,,
MERAMEC ELEM.,2016,2016,197,,,,,,,
MERAMEC ELEM.,2017,2017,208,,,,,,,
METRO HIGH,2013,2013,316,,,,,,,
METRO HIGH,2014,2014,335,,,,,,,
METRO HIGH,2015,2015,335,,,,,,,
METRO HIGH,2016,2016,334,,,,,,,
METRO HIGH,2017,2017,340,,,,,,,
MILLER CAREER ACADEMY,2013,2013,788,,,,,,,
MILLER CAREER ACADEMY,2014,2014,710,,,,,,,
MILLER CAREER ACADEMY,2015,2015,685,,,,,,,
MILLER CAREER ACADEMY,2016,2016,666,,,,,,,
MILLER CAREER ACADEMY,2017,2017,593,,,,,,,
MONROE ELEM.,2013,2013,311,,,,,,,
MONROE ELEM.,2014,2014,310,,,,,,,
MONROE ELEM.,2015,2015,311,,,,,,,
MONROE ELEM.,2016,2016,292,,,,,,,
MONROE ELEM.,2017,2017,263,,,,,,,
MULLANPHY BOTANICAL GARDENS,2013,2013,418,,,,,,,
MULLANPHY BOTANICAL GARDENS,2014,2014,403,,,,,,,
MULLANPHY BOTANICAL GARDENS,2015,2015,379,,,,,,,
MULLANPHY BOTANICAL GARDENS,2016,2016,377,,,,,,,
MULLANPHY BOTANICAL GARDENS,2017,2017,363,,,,,,,
NAHED CHAPMAN NEW AMERICAN ACA,2013,,0,,,,,,,
NAHED CHAPMAN NEW AMERICAN ACA,2014,,0,,,,,,,
NAHED CHAPMAN NEW AMERICAN ACA,2015,,0,,,,,,,
NAHED CHAPMAN NEW AMERICAN ACA,2016,2016,196,,,,,,,
NAHED CHAPMAN NEW AMERICAN ACA,2017,2017,308,,,,,,,
OAK HILL ELEM.,2013,2013,362,,,,,,,
OAK HILL ELEM.,2014,2014,324,,,,,,,
OAK HILL ELEM.,2015,2015,314,,,,,,,
OAK HILL ELEM.,2016,2016,268,,,,,,,
OAK HILL ELEM.,2017,2017,234,,,,,,,
PEABODY ELEM.,2013,2013,293,,,,,,,
PEABODY ELEM.,2014,2014,307,,,,,,,
PEABODY ELEM.,2015,2015,226,,,,,,,
PEABODY ELEM.,2016,2016,191,,,,,,,
PEABODY ELEM.,2017,2017,166,,,,,,,
ROOSEVELT HIGH,2013,2013,906,,,,,,,
ROOSEVELT HIGH,2014,2014,776,,,,,,,
ROOSEVELT HIGH,2015,2015,625,,,,,,,
ROOSEVELT HIGH,2016,2016,518,,,,,,,
ROOSEVELT HIGH,2017,2017,462,,,,,,,
SHAW VISUAL/PERF. ARTS CTR.,2013,2013,385,,,,,,,
SHAW VISUAL/PERF. ARTS CTR.,2014,2014,372,,,,,,,
SHAW VISUAL/PERF. ARTS CTR.,2015,2015,384,,,,,,,
SHAW VISUAL/PERF. ARTS CTR.,2016,2016,377,,,,,,,
SHAW VISUAL/PERF. ARTS CTR.,2017,2017,382,,,,,,,
SHENANDOAH ELEM.,2013,2013,158,,,,,,,
SHENANDOAH ELEM.,2014,2014,170,,,,,,,
SHENANDOAH ELEM.,2015,2015,183,,,,,,,
SHENANDOAH ELEM.,2016,2016,167,,,,,,,
SHENANDOAH ELEM.,2017,2017,172,,,,,,,
SHERMAN ELEM. COMM. ED. CTR.,2013,2013,157,,,,,,,
SHERMAN ELEM. COMM. ED. CTR.,2014,2014,0,,,,,,,
SHERMAN ELEM. COMM. ED. CTR.,2015,,0,,,,,,,
SHERMAN ELEM. COMM. ED. CTR.,2016,,0,,,,,,,
SHERMAN ELEM. COMM. ED. CTR.,2017,,0,,,,,,,
SIGEL ELEM. COMM. ED. CTR.,2013,2013,250,,,,,,,
SIGEL ELEM. COMM. ED. CTR.,2014,2014,277,,,,,,,
SIGEL ELEM. COMM. ED. CTR.,2015,2015,259,,,,,,,
SIGEL ELEM. COMM. ED. CTR.,2016,2016,236,,,,,,,
SIGEL ELEM. COMM. ED. CTR.,2017,2017,239,,,,,,,
SOLDAN INTERNATIONAL STUDIES,2013,2013,553,,,,,,,
SOLDAN INTERNATIONAL STUDIES,2014,2014,559,,,,,,,
SOLDAN INTERNATIONAL STUDIES,2015,2015,554,,,,,,,
SOLDAN INTERNATIONAL STUDIES,2016,2016,593,,,,,,,
SOLDAN INTERNATIONAL STUDIES,2017,2017,574,,,,,,,
ST. LOUIS CHILDREN'S HOSPITAL,2013,2013,0,,,,,,,
