StudentStaffRatios_Charts_SeriesGroup_label,StudentStaffRatios_Charts_SeriesGroup_StudentStaffRatios_Charts_CategoryGroup_label,StudentStaffRatios_Charts_SeriesGroup_StudentStaffRatios_Charts_CategoryGroup_Value_X,StudentStaffRatios_Charts_SeriesGroup_StudentStaffRatios_Charts_CategoryGroup_Value_Y,
ACAD OF ENVT SCI/MATH ELEM (4990),2013,2013,17,
ACAD OF ENVT SCI/MATH ELEM (4990),2014,2014,16,
ACAD OF ENVT SCI/MATH ELEM (4990),2015,2015,15,
ACAD OF ENVT SCI/MATH ELEM (4990),2016,2016,13,
ACAD OF ENVT SCI/MATH ELEM (4990),2017,2017,11,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2013,2013,19,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2014,2014,14,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2015,2015,15,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2016,2016,14,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2017,2017,10,
ADAMS ELEM. (4000),2013,2013,11,
ADAMS ELEM. (4000),2014,2014,12,
ADAMS ELEM. (4000),2015,2015,11,
ADAMS ELEM. (4000),2016,2016,12,
ADAMS ELEM. (4000),2017,2017,11,
AMES VISUAL/PERF. ARTS (4250),2013,2013,13,
AMES VISUAL/PERF. ARTS (4250),2014,2014,12,
AMES VISUAL/PERF. ARTS (4250),2015,2015,11,
AMES VISUAL/PERF. ARTS (4250),2016,2016,13,
AMES VISUAL/PERF. ARTS (4250),2017,2017,12,
ASHLAND ELEM. AND BR. (4060),2013,2013,14,
ASHLAND ELEM. AND BR. (4060),2014,2014,12,
ASHLAND ELEM. AND BR. (4060),2015,2015,12,
ASHLAND ELEM. AND BR. (4060),2016,2016,12,
ASHLAND ELEM. AND BR. (4060),2017,2017,11,
BEAUMONT CTE HIGH SCHOOL (1250),2013,2013,7,
BEAUMONT CTE HIGH SCHOOL (1250),2014,2014,3,
BEAUMONT CTE HIGH SCHOOL (1250),2015,2015,27,
BEAUMONT CTE HIGH SCHOOL (1250),2016,2016,11,
BEAUMONT CTE HIGH SCHOOL (1250),2017,2017,17,
BRYAN HILL ELEM. (4180),2013,2013,11,
BRYAN HILL ELEM. (4180),2014,2014,9,
BRYAN HILL ELEM. (4180),2015,2015,10,
BRYAN HILL ELEM. (4180),2016,2016,11,
BRYAN HILL ELEM. (4180),2017,2017,11,
BUDER ELEM. (4200),2013,2013,12,
BUDER ELEM. (4200),2014,2014,10,
BUDER ELEM. (4200),2015,2015,11,
BUDER ELEM. (4200),2016,2016,11,
BUDER ELEM. (4200),2017,2017,10,
BUSCH MS CHARACTER & ATHLETICS (3050),2013,2013,17,
BUSCH MS CHARACTER & ATHLETICS (3050),2014,2014,16,
BUSCH MS CHARACTER & ATHLETICS (3050),2015,2015,18,
BUSCH MS CHARACTER & ATHLETICS (3050),2016,2016,17,
BUSCH MS CHARACTER & ATHLETICS (3050),2017,2017,15,
CARDINAL GLENNON HOSPITAL (6280),2013,2013,0,
CARDINAL GLENNON HOSPITAL (6280),2014,2014,0,
CARDINAL GLENNON HOSPITAL (6280),2015,2015,0,
CARDINAL GLENNON HOSPITAL (6280),2016,2016,0,
CARDINAL GLENNON HOSPITAL (6280),2017,,,
CARNAHAN SCH. OF THE FUTURE (1500),2013,2013,14,
CARNAHAN SCH. OF THE FUTURE (1500),2014,2014,14,
CARNAHAN SCH. OF THE FUTURE (1500),2015,2015,14,
CARNAHAN SCH. OF THE FUTURE (1500),2016,2016,15,
CARNAHAN SCH. OF THE FUTURE (1500),2017,2017,14,
CARR LANE VPA MIDDLE (3070),2013,2013,15,
CARR LANE VPA MIDDLE (3070),2014,2014,15,
CARR LANE VPA MIDDLE (3070),2015,2015,15,
CARR LANE VPA MIDDLE (3070),2016,2016,16,
CARR LANE VPA MIDDLE (3070),2017,2017,14,
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2013,2013,11,
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2014,2014,12,
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2015,2015,12,
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2016,2016,14,
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2017,2017,13,
CLAY ELEM. (4360),2013,2013,8,
CLAY ELEM. (4360),2014,2014,9,
CLAY ELEM. (4360),2015,2015,9,
CLAY ELEM. (4360),2016,2016,8,
CLAY ELEM. (4360),2017,2017,9,
CLEVELAND NJROTC ACADEMY (1440),2013,2013,11,
CLEVELAND NJROTC ACADEMY (1440),2014,2014,12,
CLEVELAND NJROTC ACADEMY (1440),2015,2015,12,
CLEVELAND NJROTC ACADEMY (1440),2016,2016,11,
CLEVELAND NJROTC ACADEMY (1440),2017,2017,13,
COLE ELEM. (4400),2013,2013,15,
COLE ELEM. (4400),2014,2014,14,
COLE ELEM. (4400),2015,2015,12,
COLE ELEM. (4400),2016,2016,13,
COLE ELEM. (4400),2017,2017,12,
COLLEGIATE SCHOOL OF MED/BIO (1510),2013,,,
COLLEGIATE SCHOOL OF MED/BIO (1510),2014,2014,8,
COLLEGIATE SCHOOL OF MED/BIO (1510),2015,2015,14,
COLLEGIATE SCHOOL OF MED/BIO (1510),2016,2016,12,
COLLEGIATE SCHOOL OF MED/BIO (1510),2017,2017,13,
COLUMBIA ELEM. COMM. ED. CTR. (4420),2013,2013,12,
COLUMBIA ELEM. COMM. ED. CTR. (4420),2014,2014,12,
COLUMBIA ELEM. COMM. ED. CTR. (4420),2015,2015,10,
COLUMBIA ELEM. COMM. ED. CTR. (4420),2016,2016,10,
COLUMBIA ELEM. COMM. ED. CTR. (4420),2017,2017,9,
COMMUNITY ACCESS JOB TRAINING (1222),2013,2013,7,
COMMUNITY ACCESS JOB TRAINING (1222),2014,2014,7,
COMMUNITY ACCESS JOB TRAINING (1222),2015,2015,9,
COMMUNITY ACCESS JOB TRAINING (1222),2016,2016,8,
COMMUNITY ACCESS JOB TRAINING (1222),2017,2017,7,
COMPTON-DREW ILC MIDDLE (3390),2013,2013,16,
COMPTON-DREW ILC MIDDLE (3390),2014,2014,16,
COMPTON-DREW ILC MIDDLE (3390),2015,2015,14,
COMPTON-DREW ILC MIDDLE (3390),2016,2016,15,
COMPTON-DREW ILC MIDDLE (3390),2017,2017,14,
COTE BRILLIANTE ELEM. (4440),2013,2013,10,
COTE BRILLIANTE ELEM. (4440),2014,2014,12,
COTE BRILLIANTE ELEM. (4440),2015,2015,12,
COTE BRILLIANTE ELEM. (4440),2016,2016,11,
COTE BRILLIANTE ELEM. (4440),2017,2017,9,
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2013,2013,15,
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2014,2014,12,
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2015,2015,11,
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2016,2016,13,
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2017,2017,11,
DUNBAR AND BR. (4480),2013,2013,10,
DUNBAR AND BR. (4480),2014,2014,10,
DUNBAR AND BR. (4480),2015,2015,10,
DUNBAR AND BR. (4480),2016,2016,9,
DUNBAR AND BR. (4480),2017,2017,8,
"EARL NANCE, SR. ELEM. (5610)",2013,2013,14,
"EARL NANCE, SR. ELEM. (5610)",2014,2014,15,
"EARL NANCE, SR. ELEM. (5610)",2015,2015,13,
"EARL NANCE, SR. ELEM. (5610)",2016,2016,13,
"EARL NANCE, SR. ELEM. (5610)",2017,2017,12,
EDUC THERAP SUPPORT AT MADISON (1024),2013,,,
EDUC THERAP SUPPORT AT MADISON (1024),2014,,,
EDUC THERAP SUPPORT AT MADISON (1024),2015,,,
EDUC THERAP SUPPORT AT MADISON (1024),2016,2016,0,
EDUC THERAP SUPPORT AT MADISON (1024),2017,2017,0,
ELIAS MICHAEL ELEM. (5520),2013,2013,5,
ELIAS MICHAEL ELEM. (5520),2014,2014,6,
ELIAS MICHAEL ELEM. (5520),2015,2015,6,
ELIAS MICHAEL ELEM. (5520),2016,2016,6,
ELIAS MICHAEL ELEM. (5520),2017,2017,6,
FANNING MIDDLE COMMUNITY ED. (3140),2013,2013,17,
FANNING MIDDLE COMMUNITY ED. (3140),2014,2014,19,
FANNING MIDDLE COMMUNITY ED. (3140),2015,2015,19,
FANNING MIDDLE COMMUNITY ED. (3140),2016,2016,17,
FANNING MIDDLE COMMUNITY ED. (3140),2017,2017,13,
FARRAGUT ELEM. (4580),2013,2013,14,
FARRAGUT ELEM. (4580),2014,2014,13,
FARRAGUT ELEM. (4580),2015,2015,11,
FARRAGUT ELEM. (4580),2016,2016,12,
FARRAGUT ELEM. (4580),2017,2017,11,
FORD-FORD BR. ELEM. COMM. ED. (4630),2013,2013,11,
FORD-FORD BR. ELEM. COMM. ED. (4630),2014,2014,13,
FORD-FORD BR. ELEM. COMM. ED. (4630),2015,2015,12,
FORD-FORD BR. ELEM. COMM. ED. (4630),2016,2016,12,
FORD-FORD BR. ELEM. COMM. ED. (4630),2017,2017,11,
FROEBEL ELEM. (4660),2013,2013,16,
FROEBEL ELEM. (4660),2014,2014,15,
FROEBEL ELEM. (4660),2015,2015,13,
FROEBEL ELEM. (4660),2016,2016,13,
FROEBEL ELEM. (4660),2017,2017,11,
GATEWAY ELEM. (4730),2013,2013,14,
GATEWAY ELEM. (4730),2014,2014,13,
GATEWAY ELEM. (4730),2015,2015,13,
GATEWAY ELEM. (4730),2016,2016,14,
GATEWAY ELEM. (4730),2017,2017,12,
GATEWAY HIGH (1220),2013,2013,12,
GATEWAY HIGH (1220),2014,2014,11,
GATEWAY HIGH (1220),2015,2015,11,
GATEWAY HIGH (1220),2016,2016,12,
GATEWAY HIGH (1220),2017,2017,11,
GATEWAY MIDDLE (3230),2013,2013,16,
GATEWAY MIDDLE (3230),2014,2014,16,
GATEWAY MIDDLE (3230),2015,2015,14,
GATEWAY MIDDLE (3230),2016,2016,14,
GATEWAY MIDDLE (3230),2017,2017,13,
GRISCOM JUVENILE DETENTION CTR (1015),2013,,,
GRISCOM JUVENILE DETENTION CTR (1015),2014,,,
GRISCOM JUVENILE DETENTION CTR (1015),2015,2015,3,
GRISCOM JUVENILE DETENTION CTR (1015),2016,2016,7,
GRISCOM JUVENILE DETENTION CTR (1015),2017,2017,6,
HAMILTON ELEM. COMMUNITY ED. (4780),2013,2013,14,
HAMILTON ELEM. COMMUNITY ED. (4780),2014,2014,13,
HAMILTON ELEM. COMMUNITY ED. (4780),2015,2015,12,
HAMILTON ELEM. COMMUNITY ED. (4780),2016,2016,11,
HAMILTON ELEM. COMMUNITY ED. (4780),2017,2017,11,
HENRY ELEM. (4880),2013,2013,12,
HENRY ELEM. (4880),2014,2014,10,
HENRY ELEM. (4880),2015,2015,10,
HENRY ELEM. (4880),2016,2016,9,
HENRY ELEM. (4880),2017,2017,9,
HERZOG ELEM. (4900),2013,2013,14,
HERZOG ELEM. (4900),2014,2014,14,
HERZOG ELEM. (4900),2015,2015,13,
HERZOG ELEM. (4900),2016,2016,12,
HERZOG ELEM. (4900),2017,2017,11,
HICKEY ELEM. (4890),2013,2013,10,
HICKEY ELEM. (4890),2014,2014,11,
HICKEY ELEM. (4890),2015,2015,10,
HICKEY ELEM. (4890),2016,2016,10,
HICKEY ELEM. (4890),2017,2017,10,
HODGEN ELEM. (4920),2013,2013,13,
HODGEN ELEM. (4920),2014,2014,10,
HODGEN ELEM. (4920),2015,2015,10,
HODGEN ELEM. (4920),2016,2016,9,
HODGEN ELEM. (4920),2017,2017,8,
HUMBOLDT ACAD OF HIGHER LRNING (4960),2013,2013,16,
HUMBOLDT ACAD OF HIGHER LRNING (4960),2014,2014,15,
HUMBOLDT ACAD OF HIGHER LRNING (4960),2015,2015,14,
HUMBOLDT ACAD OF HIGHER LRNING (4960),2016,2016,15,
HUMBOLDT ACAD OF HIGHER LRNING (4960),2017,2017,11,
JEFFERSON ELEM. (5020),2013,2013,11,
JEFFERSON ELEM. (5020),2014,2014,11,
JEFFERSON ELEM. (5020),2015,2015,11,
JEFFERSON ELEM. (5020),2016,2016,12,
JEFFERSON ELEM. (5020),2017,2017,9,
KENNARD/CLASSICAL JR. ACAD. (5030),2013,2013,16,
KENNARD/CLASSICAL JR. ACAD. (5030),2014,2014,15,
KENNARD/CLASSICAL JR. ACAD. (5030),2015,2015,15,
KENNARD/CLASSICAL JR. ACAD. (5030),2016,2016,16,
KENNARD/CLASSICAL JR. ACAD. (5030),2017,2017,14,
LACLEDE ELEM. (5060),2013,2013,11,
LACLEDE ELEM. (5060),2014,2014,13,
LACLEDE ELEM. (5060),2015,2015,12,
LACLEDE ELEM. (5060),2016,2016,11,
LACLEDE ELEM. (5060),2017,2017,9,
LANGSTON MIDDLE (3240),2013,2013,15,
LANGSTON MIDDLE (3240),2014,2014,14,
LANGSTON MIDDLE (3240),2015,2015,17,
LANGSTON MIDDLE (3240),2016,2016,14,
LANGSTON MIDDLE (3240),2017,2017,7,
LEXINGTON ELEM. (5100),2013,2013,11,
LEXINGTON ELEM. (5100),2014,2014,13,
LEXINGTON ELEM. (5100),2015,2015,12,
LEXINGTON ELEM. (5100),2016,2016,13,
LEXINGTON ELEM. (5100),2017,2017,12,
LONG MIDDLE COMMUNITY ED. CTR. (3260),2013,2013,16,
LONG MIDDLE COMMUNITY ED. CTR. (3260),2014,2014,14,
LONG MIDDLE COMMUNITY ED. CTR. (3260),2015,2015,16,
LONG MIDDLE COMMUNITY ED. CTR. (3260),2016,2016,13,
LONG MIDDLE COMMUNITY ED. CTR. (3260),2017,2017,11,
L'OUVERTURE MIDDLE (3280),2013,2013,14,
L'OUVERTURE MIDDLE (3280),2014,2014,0,
L'OUVERTURE MIDDLE (3280),2015,,,
L'OUVERTURE MIDDLE (3280),2016,,,
L'OUVERTURE MIDDLE (3280),2017,,,
LYON AT BLOW ELEM. (5180),2013,2013,6,
LYON AT BLOW ELEM. (5180),2014,2014,8,
LYON AT BLOW ELEM. (5180),2015,2015,8,
LYON AT BLOW ELEM. (5180),2016,2016,11,
LYON AT BLOW ELEM. (5180),2017,2017,12,
MALLINCKRODT A.B.I. ELEM. (5240),2013,2013,14,
MALLINCKRODT A.B.I. ELEM. (5240),2014,2014,13,
MALLINCKRODT A.B.I. ELEM. (5240),2015,2015,12,
MALLINCKRODT A.B.I. ELEM. (5240),2016,2016,13,
MALLINCKRODT A.B.I. ELEM. (5240),2017,2017,13,
MANN ELEM. (5260),2013,2013,10,
MANN ELEM. (5260),2014,2014,11,
MANN ELEM. (5260),2015,2015,11,
MANN ELEM. (5260),2016,2016,9,
MANN ELEM. (5260),2017,2017,10,
MASON ELEM. (5340),2013,2013,12,
MASON ELEM. (5340),2014,2014,12,
MASON ELEM. (5340),2015,2015,11,
MASON ELEM. (5340),2016,2016,13,
MASON ELEM. (5340),2017,2017,10,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2013,2013,12,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2014,2014,14,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2015,2015,15,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2016,2016,14,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2017,2017,14,
MERAMEC ELEM. (5500),2013,2013,14,
MERAMEC ELEM. (5500),2014,2014,12,
MERAMEC ELEM. (5500),2015,2015,12,
MERAMEC ELEM. (5500),2016,2016,10,
MERAMEC ELEM. (5500),2017,2017,10,
METRO HIGH (1560),2013,2013,14,
METRO HIGH (1560),2014,2014,14,
METRO HIGH (1560),2015,2015,14,
METRO HIGH (1560),2016,2016,14,
METRO HIGH (1560),2017,2017,14,
MILLER CAREER ACADEMY (1100),2013,2013,14,
MILLER CAREER ACADEMY (1100),2014,2014,13,
MILLER CAREER ACADEMY (1100),2015,2015,14,
MILLER CAREER ACADEMY (1100),2016,2016,14,
MILLER CAREER ACADEMY (1100),2017,2017,13,
MONROE ELEM. (5560),2013,2013,13,
MONROE ELEM. (5560),2014,2014,12,
MONROE ELEM. (5560),2015,2015,12,
MONROE ELEM. (5560),2016,2016,13,
MONROE ELEM. (5560),2017,2017,11,
MULLANPHY BOTANICAL GARDENS (5590),2013,2013,11,
MULLANPHY BOTANICAL GARDENS (5590),2014,2014,10,
MULLANPHY BOTANICAL GARDENS (5590),2015,2015,9,
MULLANPHY BOTANICAL GARDENS (5590),2016,2016,10,
MULLANPHY BOTANICAL GARDENS (5590),2017,2017,9,
NAHED CHAPMAN NEW AMERICAN ACA (4970),2013,,,
NAHED CHAPMAN NEW AMERICAN ACA (4970),2014,,,
NAHED CHAPMAN NEW AMERICAN ACA (4970),2015,,,
NAHED CHAPMAN NEW AMERICAN ACA (4970),2016,2016,15,
NAHED CHAPMAN NEW AMERICAN ACA (4970),2017,2017,14,
OAK HILL ELEM. (5600),2013,2013,15,
OAK HILL ELEM. (5600),2014,2014,13,
OAK HILL ELEM. (5600),2015,2015,13,
OAK HILL ELEM. (5600),2016,2016,13,
OAK HILL ELEM. (5600),2017,2017,9,
PEABODY ELEM. (5620),2013,2013,11,
PEABODY ELEM. (5620),2014,2014,11,
PEABODY ELEM. (5620),2015,2015,10,
PEABODY ELEM. (5620),2016,2016,9,
PEABODY ELEM. (5620),2017,2017,9,
ROOSEVELT HIGH (1680),2013,2013,16,
ROOSEVELT HIGH (1680),2014,2014,15,
ROOSEVELT HIGH (1680),2015,2015,13,
ROOSEVELT HIGH (1680),2016,2016,13,
ROOSEVELT HIGH (1680),2017,2017,11,
SHAW VISUAL/PERF. ARTS CTR. (5780),2013,2013,14,
SHAW VISUAL/PERF. ARTS CTR. (5780),2014,2014,12,
SHAW VISUAL/PERF. ARTS CTR. (5780),2015,2015,12,
SHAW VISUAL/PERF. ARTS CTR. (5780),2016,2016,15,
SHAW VISUAL/PERF. ARTS CTR. (5780),2017,2017,13,
SHENANDOAH ELEM. (5800),2013,2013,11,
SHENANDOAH ELEM. (5800),2014,2014,11,
SHENANDOAH ELEM. (5800),2015,2015,11,
SHENANDOAH ELEM. (5800),2016,2016,10,
SHENANDOAH ELEM. (5800),2017,2017,10,
SHERMAN ELEM. COMM. ED. CTR. (5840),2013,2013,11,
SHERMAN ELEM. COMM. ED. CTR. (5840),2014,2014,0,
SHERMAN ELEM. COMM. ED. CTR. (5840),2015,,,
SHERMAN ELEM. COMM. ED. CTR. (5840),2016,,,
SHERMAN ELEM. COMM. ED. CTR. (5840),2017,,,
SIGEL ELEM. COMM. ED. CTR. (5860),2013,2013,12,
SIGEL ELEM. COMM. ED. CTR. (5860),2014,2014,14,
SIGEL ELEM. COMM. ED. CTR. (5860),2015,2015,12,
SIGEL ELEM. COMM. ED. CTR. (5860),2016,2016,12,
SIGEL ELEM. COMM. ED. CTR. (5860),2017,2017,12,
SOLDAN INTERNATIONAL STUDIES (1730),2013,2013,13,
SOLDAN INTERNATIONAL STUDIES (1730),2014,2014,15,
SOLDAN INTERNATIONAL STUDIES (1730),2015,2015,16,
SOLDAN INTERNATIONAL STUDIES (1730),2016,2016,16,
SOLDAN INTERNATIONAL STUDIES (1730),2017,2017,14,
ST. LOUIS CHILDREN'S HOSPITAL (6340),2013,2013,0,
ST. LOUIS CHILDREN'S HOSPITAL (6340),2014,2014,0,
ST. LOUIS CHILDREN'S HOSPITAL (6340),2015,2015,0,
ST. LOUIS CHILDREN'S HOSPITAL (6340),2016,2016,18,
ST. LOUIS CHILDREN'S HOSPITAL (6340),2017,2017,0,
STEVENS MIDDLE COMMUNITY ED. (3400),2013,2013,0,
STEVENS MIDDLE COMMUNITY ED. (3400),2014,2014,0,
STEVENS MIDDLE COMMUNITY ED. (3400),2015,2015,0,
STEVENS MIDDLE COMMUNITY ED. (3400),2016,,,
STEVENS MIDDLE COMMUNITY ED. (3400),2017,,,
STIX EARLY CHILDHOOD CTR. (5930),2013,2013,10,
STIX EARLY CHILDHOOD CTR. (5930),2014,2014,10,
STIX EARLY CHILDHOOD CTR. (5930),2015,2015,9,
STIX EARLY CHILDHOOD CTR. (5930),2016,2016,9,
STIX EARLY CHILDHOOD CTR. (5930),2017,2017,8,
SUMNER HIGH (1800),2013,2013,12,
SUMNER HIGH (1800),2014,2014,16,
SUMNER HIGH (1800),2015,2015,12,
SUMNER HIGH (1800),2016,2016,12,
SUMNER HIGH (1800),2017,2017,9,
THE COLLEGE PREPARATORY HIGH (1550),2013,2013,20,
THE COLLEGE PREPARATORY HIGH (1550),2014,2014,16,
THE COLLEGE PREPARATORY HIGH (1550),2015,2015,15,
THE COLLEGE PREPARATORY HIGH (1550),2016,,,
THE COLLEGE PREPARATORY HIGH (1550),2017,,,
TRANSPORTATION AND LAW (1540),2013,2013,10,
TRANSPORTATION AND LAW (1540),2014,2014,12,
TRANSPORTATION AND LAW (1540),2015,2015,12,
TRANSPORTATION AND LAW (1540),2016,2016,13,
TRANSPORTATION AND LAW (1540),2017,2017,11,
VASHON HIGH (1830),2013,2013,12,
VASHON HIGH (1830),2014,2014,12,
VASHON HIGH (1830),2015,2015,13,
VASHON HIGH (1830),2016,2016,15,
VASHON HIGH (1830),2017,2017,11,
VICC (9990),2013,2013,0,
VICC (9990),2014,2014,0,
VICC (9990),2015,2015,0,
VICC (9990),2016,2016,0,
VICC (9990),2017,2017,0,
VO. TECH. TUITION (9995),2013,2013,0,
VO. TECH. TUITION (9995),2014,2014,0,
VO. TECH. TUITION (9995),2015,2015,0,
VO. TECH. TUITION (9995),2016,2016,0,
VO. TECH. TUITION (9995),2017,2017,0,
WALBRIDGE ELEM. COMMUNITY ED. (5960),2013,2013,11,
WALBRIDGE ELEM. COMMUNITY ED. (5960),2014,2014,11,
WALBRIDGE ELEM. COMMUNITY ED. (5960),2015,2015,9,
WALBRIDGE ELEM. COMMUNITY ED. (5960),2016,2016,13,
WALBRIDGE ELEM. COMMUNITY ED. (5960),2017,2017,12,
WASHINGTON MONTESSORI (6010),2013,2013,13,
WASHINGTON MONTESSORI (6010),2014,2014,12,
WASHINGTON MONTESSORI (6010),2015,2015,12,
WASHINGTON MONTESSORI (6010),2016,2016,14,
WASHINGTON MONTESSORI (6010),2017,2017,12,
WILKINSON EARLY CHILDHOOD CTR. (6030),2013,2013,10,
WILKINSON EARLY CHILDHOOD CTR. (6030),2014,2014,9,
WILKINSON EARLY CHILDHOOD CTR. (6030),2015,2015,9,
WILKINSON EARLY CHILDHOOD CTR. (6030),2016,2016,9,
WILKINSON EARLY CHILDHOOD CTR. (6030),2017,2017,7,
WOERNER ELEM. (5970),2013,2013,15,
WOERNER ELEM. (5970),2014,2014,14,
WOERNER ELEM. (5970),2015,2015,14,
WOERNER ELEM. (5970),2016,2016,14,
WOERNER ELEM. (5970),2017,2017,14,
WOODWARD ELEM. (6120),2013,2013,13,
WOODWARD ELEM. (6120),2014,2014,15,
WOODWARD ELEM. (6120),2015,2015,13,
WOODWARD ELEM. (6120),2016,2016,11,
WOODWARD ELEM. (6120),2017,2017,11,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2013,2013,17,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2014,2014,16,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2015,2015,13,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2016,2016,15,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2017,2017,12,
,,,,
SCHOOL_NAME2,YEAR1,Students_Per_Reacher_Ratio2,Students_Per_Classrm_Tch_Ratio2,Students_Per_Admin_Ratio2
School: ACAD OF ENVT SCI/MATH ELEM (4990),2017,11,13,238
School: ACAD OF ENVT SCI/MATH ELEM (4990),2016,13,15,261
School: ACAD OF ENVT SCI/MATH ELEM (4990),2015,15,16,328
School: ACAD OF ENVT SCI/MATH ELEM (4990),2014,16,17,253
School: ACAD OF ENVT SCI/MATH ELEM (4990),2013,17,19,262
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2017,10,14,180
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2016,14,20,108
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2015,15,20,141
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2014,14,15,306
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2013,19,22,205
School: ADAMS ELEM. (4000),2017,11,16,250
School: ADAMS ELEM. (4000),2016,12,17,271
School: ADAMS ELEM. (4000),2015,11,16,278
School: ADAMS ELEM. (4000),2014,12,17,314
School: ADAMS ELEM. (4000),2013,11,18,279
School: AMES VISUAL/PERF. ARTS (4250),2017,12,16,169
School: AMES VISUAL/PERF. ARTS (4250),2016,13,17,182
School: AMES VISUAL/PERF. ARTS (4250),2015,11,14,173
School: AMES VISUAL/PERF. ARTS (4250),2014,12,15,182
